standard name,intrinsic redetection probability
coptosapelta griffithii,0.10863448060358534
cordia dichotoma,0.25553606637834353
corymborkis veratrifolia,0.4780977300288173
coscinium fenestratum,0.29218377601983175
cotylelobium lanceolatum,0.12985945600881413
cratoxylum arborescens,0.39774855619745836
cratoxylum cochinchinense,0.4634534412353278
cratoxylum formosum,0.6038530838027358
cratoxylum maingayi,0.6119208556883975
crepidomanes christii,0.16368090192328819
crepidomanes humile,0.4175241902853782
crepidomanes minutum,0.03594924273568207
crinum asiaticum,0.18973055599714367
croton argyratus,0.40498709213346995
croton caudatus,0.5813248129039775
croton oblongus,0.999999
crypteronia griffithii,0.36998218950860595
cryptocarya ferrea,0.4404601951805353
cryptocarya griffithiana,0.4147366353460846
cryptocarya impressa,0.08479467922341505
cryptocarya nitens,0.23616538453721853
cryptocarya rugulosa,0.19395841096073724
cryptocoryne ciliata,0.036505152339763355
cryptocoryne griffithii,0.34783935266143007
ctenolophon parvifolius,0.1304637406472406
ctenopterella blechnoides,0.36938936439309006
cyathea glabra,0.3988583058320033
cyathea latebrosa,0.3825023440766627
cyathea squamulata,0.34759008092649585
cyathocalyx ramuliflorus,0.5751878837709131
cyathocalyx ridleyi,0.3805180757358972
cyathocalyx sumatranus,0.16452617999322047
cyathostemma viridiflorum,0.49652821471223996
cyathula prostrata,0.4044600260373586
cycas edentata,0.10164466042627737
cyclea laxiflora,0.3246486400220353
cyclosorus interruptus,0.2710524278034063
cymbidium bicolor subsp. pubescens,0.066203761961632
cymbidium finlaysonianum,0.18973055599714367
cynanchum ovalifolium,0.12985945600881413
cynodon dactylon,0.33101880980815995
cynometra ramiflora,0.14379697094272828
cyperus compactus,0.07518006036607981
cyperus digitatus,0.18076270169115236
cyperus dubius,0.09178812835325961
cyperus javanicus,0.18973055599714367
cyperus malaccensis,0.07189848547136414
cyperus procerus,0.07846722170389034
cyperus radians,0.1581087966642864
cyperus stoloniferus,0.41108287132714466
cyperus tenuiculmis,0.03162175933285728
cyrtandra pendula,0.18357625670651923
cyrtococcum patens var. latifolium,0.27536438505977884
cyrtosperma merkusii,0.2625519126885453
cyrtostachys renda,0.22135231533000096
cystorchis variegata,0.1581087966642864
dacryodes costata,0.08913737789844943
dacryodes laxa,0.198611285884896
dacryodes longifolia,0.22651949218422046
dacryodes rostrata,0.4404601951805353
dacryodes rugosa,0.0676717779831287
dactyloctenium aegyptium,0.12625698567574106
daemonorops angustifolia,0.29218377601983175
daemonorops didymophylla,0.3246486400220353
daemonorops geniculata,0.08854628827793369
daemonorops grandis,0.4743263899928592
daemonorops hirsuta,0.4743263899928592
daemonorops kunstleri,0.03162175933285728
daemonorops leptopus,0.18973055599714367
daemonorops longipes,0.34783935266143007
daemonorops periacantha,0.22725404801542473
daemonorops sabut,0.132407523923264
dalbergia candenatensis,0.7151698711999376
dalbergia havilandii,0.15037612801728503
dalbergia hullettii,0.19729999509812385
dalbergia junghuhnii,0.36715251341303845
dalbergia parviflora,0.044568688949224715
dalbergia rostrata,0.34759008092649585
dalbergia velutina,0.1581087966642864
dapania racemosa,0.042085661891913685
daphniphyllum laurinum,0.2039198253150054
davallia angustata,0.3482252490554526
davallia denticulata,0.5610103950106787
davallia heterophylla,0.7315832613681236
davallia parvula,0.892497985986524
davallia pectinata,0.17222291928512165
davallia repens,0.35958882888147325
davallia solida,0.2431443663956324
davallia triphylla,0.2872166598152475
decaspermum fruticosum,0.703708984041657
dehaasia incrassata,0.12985945600881413
dendrobium acerosum,0.3748609431795705
dendrobium aloifolium,0.2654471649738204
dendrobium bancanum,0.2553945949989682
dendrobium comatum,0.386857016993753
dendrobium crumenatum,0.3162175933285728
dendrobium indivisum,0.6888922703556759
dendrobium indragiriense,0.047120360753755634
dendrobium lamellatum,0.2076359491300832
dendrobium lobbii,0.12648703733142913
dendrobium microglaphys,0.34402123925555744
dendrobium pachyphyllum,0.09486527799857183
dendrobium pandaneti,0.2574999218375839
dendrobium pensile,0.44710318836353025
dendrobium planibulbe,0.29332926441728063
dendrobium plicatile,0.47622074081975196
dendrobium prostratum,0.3470901302836496
dendrobium stuposum,0.34402123925555744
dendrobium subulatum,0.7849195149991441
dendrobium villosulum,0.999999
dendrolobium umbellatum,0.9848385626250715
dendrophthoe pentandra,0.999999
dendrotrophe buxifolia,0.4794932737110339
dendrotrophe varians,0.41108287132714466
deplanchea bancana,0.12648703733142913
derris maingayana,0.4711914036163563
derris scandens,0.29754131964245484
derris trifoliata,0.999999
desmos dasymaschalus,0.8110435221618236
desmos dumosus,0.3235431846211386
dialium indum,0.17974621367841034
dialium platysepalum,0.4634534412353278
dianella ensifolia,0.4344876011581198
dichapetalum sordidum,0.14482920038603994
dicranopteris curranii,0.09697920548036862
dicranopteris linearis,0.4680775019289463
didymocarpus platypus,0.3365564706286186
didymoplexis pallens,0.06324351866571457
dienia ophrydis,0.22135231533000096
digitaria bicornis,0.12985945600881413
digitaria fuscescens,0.22725404801542473
digitaria longiflora,0.0607860915989081
digitaria mollicoma,0.25971891201762826
dillenia excelsa,0.45450809603084946
dillenia grandifolia,0.34790330839264155
dillenia indica,0.10164466042627737
dillenia pulchella,0.19478918401322118
dillenia suffruticosa,0.9170310206528611
dimeria ornithopoda,0.18973055599714367
dioscorea glabra,0.08246863052953099
dioscorea hispida,0.38783514160394905
dioscorea laurifolia,0.6492972800440706
dioscorea orbiculata var. tenuifolia,0.14957985699468135
dioscorea polyclados,0.25971891201762826
dioscorea prainiana,0.25553606637834353
dioscorea pyrifolia,0.5793168015441598
diospyros argentea,0.15298021392209937
diospyros buxifolia,0.3726970882296837
diospyros confusa,0.12018915465239115
diospyros coriacea,0.07189848547136414
diospyros diepenhorstii,0.19478918401322118
diospyros lanceifolia,0.8734427726916231
diospyros maingayi,0.264815047846528
diospyros oblonga,0.7273004646557174
diospyros styraciformis,0.38284301543828947
diospyros sumatrana,0.3134032474138593
diospyros venosa,0.198611285884896
diplazium cordifolium,0.028965840077207986
diplazium crenato-serratum,0.35408186791003654
diplazium esculentum,0.21822573244157
diplazium kunstleri,0.11184509785748868
diplazium malaccense,0.20859121243331513
diplazium prescottianum,0.17379504046324792
diplazium sorzogonense,0.999999
diplazium tomentosum,0.2955907972120283
diplectria divaricata,0.03246486400220353
diplectria viminalis,0.28459583399571553
diplospora malaccensis,0.4526935795977967
dipodium paludosum,0.18817572423651738
dipteris conjugata,0.23761250908166787
dipterocarpus caudatus subsp. penangianus,0.39544167009250275
dipterocarpus chartaceus,0.5833270567135241
dipterocarpus cornutus,0.14482920038603994
dipterocarpus elongatus,0.34618187469289646
dipterocarpus grandiflorus,0.1898129603041166
dipterocarpus kerrii,0.2856865659312823
dipterocarpus kunstleri,0.4945455352755664
dipterocarpus sublamellatus,0.29218377601983175
dipterocarpus tempehes,0.4530389843684409
dischidia albiflora,0.15007941220027565
dischidia bengalensis,0.15606903672359532
dischidia cochleata,0.44000837830947603
dischidia hirsuta,0.1581087966642864
dischidia major,0.6372484816985757
dischidia nummularia,0.7294330991868971
dissochaeta annulata,0.1581087966642864
dissochaeta celebica,0.3075761015572683
dissochaeta gracilis,0.3134032474138593
dissochaeta pallida,0.35711350402423886
dissochaeta punctulata,0.2764639729343381
dolichandrone spathacea,0.6289357386355039
donax canniformis,0.15106259508466627
dracaena brachystachys,0.037590030183039906
dracaena cantleyi,0.4344876011581198
dracaena elliptica,0.13552621390170316
dracaena granulata,0.0893962338999922
dracaena maingayi,0.4283445989818782
dracaena porteri,0.3873836802332995
dracaena singapurensis,0.10164466042627737
dracaena umbratica,0.19478918401322118
drynaria quercifolia,0.34759008092649585
drynaria sparsisora,0.13552621390170316
drypetes crassipes,0.03594924273568207
drypetes pendula,0.2516446991497745
durio griffithii,0.09290047443119012
durio singaporensis,0.24044112138106957
dyera costulata,0.39069824231602646
dysoxylum acutangulum,0.03388155347542579
dysoxylum alliaceum,0.19478918401322118
dysoxylum cauliflorum,0.7954971123949167
dysoxylum cyrtobotryum,0.10446774913795309
dysoxylum densiflorum,0.036831661504097744
dysoxylum excelsum,0.18973055599714367
dysoxylum flavescens,0.12985945600881413
dysoxylum grande,0.05250788427122044
elaeocarpus acmosepalus,0.4470067790924055
elaeocarpus ferrugineus,0.6662143603707008
elaeocarpus floribundus,0.2606925606948719
elaeocarpus griffithii,0.37655592100370383
elaeocarpus mastersii,0.999999
elaeocarpus nitidus,0.55190268803746
elaeocarpus obtusus subsp. apiculatus,0.38304841350582797
elaeocarpus palembanicus,0.15196522899727025
elaeocarpus pedunculatus,0.6662143217757837
elaeocarpus petiolatus,0.999999
elaeocarpus polystachyus,0.7241460019301996
elaeocarpus salicifolius,0.4188235995851078
elaeocarpus stipularis,0.7478992849734067
eleiodoxa conferta,0.23171316686571197
eleocharis dulcis,0.26731407271687635
elettariopsis curtisii,0.22725404801542473
ellipanthus tomentosus,0.38304841350582797
ellipeia cuneifolia,0.034822583045984366
embelia canescens,0.5375699086585738
embelia lampanii,0.34783935266143007
embelia ribes,0.8776453161167743
endiandra maingayi,0.04238625301596963
endocomia canarioides,0.07189848547136414
endospermum diadenum,0.3482258304598436
enkleia malaccensis,0.4657910943812504
entada rheedii,0.06492972800440706
entada spiralis,0.8510052823847133
epipremnum giganteum,0.31862424084928787
epipremnum pinnatum,0.11586336030883194
eragrostis atrovirens,0.3874553755146069
eragrostis cumingii,0.18973055599714367
eragrostis montana,0.06324351866571457
eragrostis unioloides,0.5265871896700646
eria nutans,0.2689964052636367
eria robusta,0.34402123925555744
eriachne pallescens,0.337900411364191
eriocaulon truncatum,0.25971891201762826
eriocaulon wildenovianum,0.41043918494745424
erycibe festiva,0.061192085568839746
erycibe leucoxyloides,0.37946111199428734
erycibe maingayi,0.4170362615091272
erycibe malaccensis,0.21595803917525222
erycibe tomentosa,0.999999
erythropalum scandens,0.5843675520396635
erythroxylum cuneatum,0.5691916679914311
etlingera maingayi,0.132407523923264
etlingera punicea,0.033101880980816
eulophia spectabilis,0.3162175933285728
euonymus javanicus,0.07189848547136414
euphorbia atoto,0.3134032474138593
eurya acuminata,0.7211349279143469
eurycoma longifolia,0.6372484816985757
evolvulus alsinoides,0.03246486400220353
excoecaria agallocha,0.7466918720506812
fagraea auriculata,0.4055217610809118
fagraea fragrans,0.870564576149609
fagraea ridleyi,0.586677837745968
fagraea splendens,0.2027608805404559
fernandoa adenophylla,0.03005371094738665
fibraurea tinctoria,0.9802745393185757
ficus annulata,0.17350725714672813
ficus apiocarpa,0.4404601951805353
ficus aurata,0.9117913739836214
ficus binnendijkii,0.198611285884896
ficus botryocarpa,0.27187645765989715
ficus bracteata,0.24556080359151888
ficus caulocarpa,0.3366852951353095
ficus chartacea,0.7294330991868971
ficus consociata,0.7702251799284429
ficus crassiramea,0.18430931528955874
ficus delosyce,0.13519898109019773
ficus deltoidea,0.27536438505977884
ficus dubia,0.6685879767865721
ficus fistulosa,0.6168324160418671
ficus glandulifera,0.33101880980815995
ficus globosa,0.7589222239885747
ficus grossularioides,0.7902191907858053
ficus heteropleura,0.5375699086585738
ficus kerkhovenii,0.35711350402423886
ficus laevis,0.12238417113767949
ficus lamponga,0.17076361261855064
ficus microcarpa,0.9148019438364964
ficus microsyce,0.5059481493257165
ficus obscura var. borneensis,0.4283445989818782
ficus pallescens,0.5222886152362486
ficus pellucidopunctata,0.04506632703006591
ficus pisocarpa,0.03162175933285728
ficus punctata,0.5234676235725796
ficus recurva var. ribesioides,0.34759008092649585
ficus retusa,0.02952686289529888
ficus sagittata,0.5201327273351378
ficus scortechinii,0.1741129152299218
ficus sinuata,0.3826509782406854
ficus subgelderi,0.19478918401322118
ficus sumatrana,0.5361244081870741
ficus sundaica,0.17709257655586738
ficus superba,0.7079275516136151
ficus trichocarpa,0.29459963324339583
ficus variegata,0.16232432001101765
ficus vasculosa,0.5049265817985442
ficus villosa,0.4673401555638669
ficus virens,0.1581087966642864
ficus xylophylla,0.11586336030883194
fimbristylis complanata,0.12648703733142913
fimbristylis cymosa,0.38957836802644236
fimbristylis dura,0.06776310695085158
fimbristylis ferruginea,0.44270463066000193
fimbristylis leptoclada,0.16232432001101765
fimbristylis pauciflora,0.29131400221875037
finlaysonia obovata,0.45555110472987986
fissistigma fulgens,0.4055217610809118
fissistigma lanuginosum,0.2896584007720799
fissistigma latifolium var. ovoideum,0.5059481493257165
fissistigma manubriatum,0.34759008092649585
flacourtia rukam,0.8765513280594953
flagellaria indica,0.5470748243901729
floscopa scandens,0.030718219214926457
freycinetia angustifolia,0.3162175933285728
freycinetia javanica,0.19478918401322118
freycinetia sumatrana,0.15036012073215962
friesodielsia biglandulosa,0.3285463710578702
friesodielsia borneensis,0.2516446991497745
friesodielsia excisa,0.07189848547136414
friesodielsia glauca,0.29459963324339583
friesodielsia latifolia,0.38957836802644236
gaertnera grisea,0.31862424084928787
gaertnera obesa,0.49241928131253576
gaertnera viminea,0.08689752023162396
gahnia tristis,0.3323377091862658
galearia fulva,0.9573110847659607
galearia maingayi,0.1287291054744998
galeola nudifolia,0.17379504046324792
garcinia atroviridis,0.20924594064734864
garcinia bancana,0.5253761579971263
