year,S,E,U_mean,X_mean,U_lo,U_hi,X_lo,X_hi
1985,1475,475,142.92789115646258,440.99197278911566,140.0,147.0,338.0,569.0
1989,1475,476,141.70353741496598,441.21632653061226,139.0,146.0,338.475,570.0
1992,1492,477,123.48557823129252,441.4342857142857,121.0,127.0,339.0,570.0
1993,1493,479,120.20707482993197,441.7127891156463,118.0,124.0,339.0,570.0
1994,1497,481,113.93544217687075,441.9844217687075,112.0,117.0,339.0,571.0
1995,1498,482,111.76183673469387,442.15802721088437,110.0,115.0,340.0,571.0
1996,1509,484,98.50469387755102,442.41517006802724,97.0,101.0,340.0,571.0
1997,1510,486,95.27925170068028,442.64061224489797,94.0,98.0,340.0,571.0
1998,1509,490,91.91340136054421,443.006462585034,91.0,94.0,340.0,571.0
2001,1514,491,85.77054421768707,443.14931972789117,85.0,88.0,340.0,571.0
2002,1518,492,80.64714285714285,443.2727210884354,80.0,83.0,341.0,571.5249999999996
2003,1527,493,70.51925170068027,443.40061224489796,70.0,72.0,341.0,571.5249999999996
2004,1527,497,66.25734693877551,443.6625170068027,66.0,68.0,341.0,572.0
2007,1541,499,50.11061224489796,443.80925170068025,50.0,51.0,341.0,572.0
2015,1589,501,0.0,443.91986394557824,0.0,0.0,341.0,572.0
