standard name,first detection,last detection,no. detns,expert extant?,chong common?
tylophora laevis,1891,2007,3,,
uncaria acida,1881,2013,10,,
uncaria attenuata,2008,2010,3,,
uncaria callophylla,1861,2012,5,,
uncaria cordata var. ferruginea,1884,2013,25,yes,
uncaria elliptica,1984,2011,2,,
uncaria lanosa var. glabrata,1846,2010,8,,
uncaria longiflora var. pteropoda,1900,2010,8,yes,
uncaria roxburghiana,2010,2013,4,,
urceola brachysepala,1867,2009,12,,
urceola elastica,1995,2010,2,yes,
urceola lucida,1884,1894,7,,
urceola torulosa,1822,2010,14,yes,
urophyllum arboreum,1847,2005,18,yes,
urophyllum blumeanum,1900,2012,8,yes,
urophyllum corymbosum,2009,2009,1,,
urophyllum griffithianum,1884,2010,7,yes,
urophyllum hirsutum,1822,2012,23,yes,
urophyllum macrophyllum,2008,2008,1,,
urophyllum streptopodium,1890,2010,13,yes,
utania austromalayensis,1890,1897,4,yes,
utania nervosa,1890,2012,8,yes,
utania racemosa,1893,2014,5,,
utania volubilis,1891,2012,12,,
utricularia uliginosa,1888,2005,6,,
uvaria clementis,1893,1918,3,,
uvaria cordata,1889,2013,24,yes,yes
uvaria curtisii,1953,1953,1,yes,
uvaria grandiflora,1889,2013,12,,
uvaria hirsuta,1861,2010,13,yes,
uvaria javana,1955,2011,2,yes,
uvaria leptopoda,1875,2010,10,,
uvaria lobbiana,1822,2011,4,yes,
uvaria pauci-ovulata,1925,2010,5,,
vaccinium bracteatum,1891,1953,2,,
vaccinium littoreum,1890,1900,5,,
vaginularia trichoidea,1904,1967,4,,
vanilla griffithii,1892,2013,13,,
vatica maingayi,1938,2005,2,,
vatica odorata,2008,2014,3,,
vatica pauciflora,1892,2012,11,yes,
vatica ridleyana,1891,2002,8,,
ventilago maingayi,2005,2012,4,,
ventilago malaccensis,1884,2012,11,,
vernonia arborea,1883,2010,19,yes,
viburnum sambucinum,1884,1921,8,,
vigna marina,1890,2003,12,,yes
viscum articulatum,1884,2012,12,yes,yes
viscum ovalifolium,1889,2011,18,yes,yes
vitex longisepala,2003,2003,1,,
vitex negundo,1884,2009,11,,
vitex pinnata,1859,2012,31,yes,yes
vitex quinata,2009,2009,1,,
vitex vestita,1883,2011,17,yes,
vittaria elongata,1822,2013,19,yes,yes
vittaria ensiformis,1850,2010,10,yes,yes
vrydagzynea albida,1889,1956,9,,
vrydagzynea lancifolia,1889,1953,11,yes,
vrydagzynea tristriata,1889,1933,3,,
willughbeia angustifolia,1892,1940,4,,
willughbeia coriacea,1822,2013,30,yes,
willughbeia edulis,1918,2012,9,,
willughbeia flavescens,1878,2004,6,yes,
willughbeia tenuiflora,1892,2000,8,yes,
wollastonia biflora,1884,2017,15,,yes
wrightia laevis,1900,2010,5,yes,
xanthophyllum amoenum,1943,2010,3,yes,
xanthophyllum discolor,1894,2010,12,yes,
xanthophyllum ellipticum,1892,2011,9,yes,
xanthophyllum eurhynchum,1895,2012,20,yes,
xanthophyllum flavescens,1889,2012,26,yes,
xanthophyllum griffithii,1884,1997,7,,
xanthophyllum kunstleri,1969,2010,3,,
xanthophyllum obscurum,1868,2002,9,,
xanthophyllum stipitatum,1938,2009,6,,
xanthophyllum vitellinum,1881,2014,15,yes,
xanthophyllum wrayi,1884,1884,1,,
xenostegia tridentata,1884,2011,17,yes,yes
xerospermum laevigatum,1955,1955,1,,
xerospermum noronhianum,1889,2010,15,yes,
ximenia americana,1885,2011,27,yes,yes
xylocarpus granatum,1881,2012,34,yes,yes
xylocarpus moluccensis,1822,2007,7,yes,
xylocarpus rumphii,1965,2010,9,yes,
xylopia caudata,1822,1995,5,yes,
xylopia ferruginea,1822,2010,17,yes,yes
xylopia fusca,1917,2012,9,,
xylopia magna,1953,2010,6,,
xylopia malayana,1867,2009,34,yes,yes
xyris pauciflora,1893,1976,4,,
zanthoxylum nitidum,1890,1901,2,,yes
zeuxine clandestina,1917,2012,4,,
zeuxine gracilis,1991,1991,1,,
zeuxine parvifolia,1897,1899,2,,
zingiber griffithii,1890,2003,7,,
zingiber puberulum var. chryseum,1889,2012,13,yes,
ziziphus calophylla,1889,2012,19,yes,
ziziphus elegans,1822,2010,8,,
ziziphus horsfieldii,1886,2004,6,,
zoysia matrella,1886,2013,7,yes,yes
