standard name,first detection,last detection,no. detns,expert extant?,chong common?
claoxylon indicum,1892,2013,13,yes,yes
claoxylon longifolium,1885,1956,9,yes,
clausena excavata,1883,2012,14,yes,yes
cleisostoma halophilum,1884,1949,6,,
cleisostoma scortechinii,1895,1902,2,,
cleisostoma subulatum,1892,1892,1,,
cleistanthus hirsutulus,1884,1894,2,,
cleistanthus macrophyllus,1894,1970,5,,
cleistanthus malaccensis,1892,1894,2,,
cleistanthus oblongifolius,1884,2012,7,,
cleistanthus sumatranus,1879,2012,13,yes,
clerodendrum deflexum,1822,2012,16,yes,
clerodendrum disparifolium,1822,2012,41,yes,yes
clerodendrum inerme,1880,2011,28,yes,yes
clerodendrum myrmecophilum,1894,1905,3,,
clerodendrum nutans,1933,1994,2,,
clerodendrum phyllomega,1894,1894,1,,
clerodendrum speciosissimum,1889,1898,3,,
clerodendrum villosum,1822,2017,27,yes,
cnestis palala,1892,2010,14,yes,yes
cocculus orbiculatus,1880,2010,5,yes,
codonoboea crinita,1957,1957,1,,
codonoboea puncticulata,1889,1889,1,,
coelogyne mayeriana,1889,1930,5,,
coelogyne rochussenii,1884,1894,3,yes,
coelogyne septemcostata,1891,1891,1,,
coelogyne testacea,1884,1900,5,,
coelogyne tomentosa,1893,1893,1,,
coelospermum truncatum,1887,2012,7,,
coelostegia griffithii,1892,2012,5,,
colubrina asiatica,1822,2012,24,yes,yes
combretum sundaicum,1884,2010,12,yes,
combretum tetralophum,1996,1997,2,,
commelina attenuata,1893,1950,8,,
commersonia bartramia,1857,2004,31,yes,yes
connarus ferrugineus,1884,2010,6,yes,
connarus grandis,1884,2010,7,yes,
connarus monocarpus subsp. malayensis,1889,1957,4,,
connarus planchonianus,1822,1938,6,,
connarus semidecandrus,1881,2010,10,yes,
coptosapelta flavescens,1884,2010,4,,
coptosapelta griffithii,1895,2012,5,yes,
coptosapelta parviflora,1909,1909,1,,
cordia dichotoma,1896,2012,8,yes,
cordia subcordata,1950,1950,1,yes,
cordiglottis filiformis,1892,1900,3,,
corymborkis veratrifolia,1879,1900,6,,
coscinium fenestratum,1890,2011,10,yes,
cotylelobium lanceolatum,1890,2007,5,,
cotylelobium melanoxylon,1953,1953,1,,
cratoxylum arborescens,1885,2011,14,yes,
cratoxylum cochinchinense,1821,2012,18,yes,
cratoxylum formosum,1949,2017,15,yes,
cratoxylum maingayi,1885,2010,21,yes,
crepidium micranthum,1889,1900,3,,
crepidomanes christii,1891,1929,3,,
crepidomanes humile,1890,1952,7,,
crepidomanes minutum,1894,1982,2,yes,
crepidomanes pallidum,1904,1904,1,,
crinum asiaticum,1889,2017,9,yes,
croton argyratus,1884,1896,5,,
croton caudatus,1885,2012,20,yes,yes
croton griffithii,1891,1891,1,yes,
croton heterocarpus,1924,1949,2,,
croton oblongus,1884,2013,35,yes,
crypteronia griffithii,1884,2008,11,,
cryptocarya caesia,1894,1894,1,,
cryptocarya ferrea,1892,2012,14,,
cryptocarya griffithiana,1878,2010,16,,
cryptocarya impressa,1893,1969,3,,
cryptocarya kurzii,1953,1953,1,,
cryptocarya nitens,2006,2009,2,,
cryptocarya rugulosa,1954,2010,5,,
cryptocoryne ciliata,1896,1974,2,yes,
cryptocoryne griffithii,1889,2013,12,yes,
cryptostylis arachnites,1894,1896,2,,
ctenolophon parvifolius,1937,2010,4,yes,
ctenopterella blechnoides,1889,1954,6,,
cyathea contaminans,2001,2001,1,,
cyathea glabra,1904,1954,5,,
cyathea latebrosa,1842,2010,15,yes,
cyathea squamulata,1822,2010,14,yes,
cyathea trichodesma,2009,2009,1,,
cyathocalyx ramuliflorus,1894,2009,18,yes,yes
cyathocalyx ridleyi,1842,2009,15,yes,
cyathocalyx sumatranus,1961,2009,4,,
cyathostemma viridiflorum,1891,2012,17,,
cyathula prostrata,1989,2012,6,yes,yes
cycas edentata,1892,2004,4,,
cyclea laxiflora,1890,2011,12,yes,
cyclosorus interruptus,1892,2010,9,yes,yes
cymbidium bicolor subsp. pubescens,1891,1896,3,yes,
cymbidium finlaysonianum,1889,2012,7,yes,
cynanchum ovalifolium,1890,2001,5,,
cynodon dactylon,1891,2011,11,yes,yes
cynometra ramiflora,1894,2005,5,,
cyperus compactus,1899,2002,3,,yes
cyperus digitatus,1941,2011,5,,yes
cyperus dubius,1885,1932,5,,yes
cyperus javanicus,1889,2013,7,,yes
cyperus malaccensis,1894,1948,3,,yes
cyperus procerus,1909,1955,3,,yes
cyperus radians,1889,1949,6,,yes
cyperus stoloniferus,1884,2013,15,,yes
cyperus tenuiculmis,1889,1900,3,,yes
cyrtandra pendula,1885,2012,8,yes,
cyrtococcum patens var. latifolium,1884,2008,11,,
cyrtosperma merkusii,1837,2009,11,yes,
cyrtostachys renda,1889,2017,9,yes,
cystorchis variegata,1889,2009,6,yes,
dacryodes costata,1939,2010,3,,
dacryodes incurvata,1940,1940,1,yes,
dacryodes laxa,1891,1996,7,yes,
dacryodes longifolia,2005,2008,2,yes,
dacryodes puberula,1936,1936,1,,
dacryodes rostrata,1884,2010,15,yes,
dacryodes rugosa,1976,2008,2,yes,
dactyloctenium aegyptium,1932,2012,4,,yes
daemonorops angustifolia,1890,1996,10,yes,
daemonorops didymophylla,1890,1996,11,yes,
daemonorops geniculata,1992,2005,2,,
daemonorops grandis,1889,2012,16,yes,
daemonorops hirsuta,1889,2008,16,yes,
daemonorops kunstleri,1889,1900,3,yes,
daemonorops leptopus,1889,1933,7,yes,
