standard name,Solow p-value
canarium patentinervium,0.49714576103130326
canarium pilosum,0.41014965666928854
canavalia cathartica,0.8153543287253966
canavalia rosea,0.3083501635081884
cansjera rheedii,0.47735486414477396
canthium confertum,0.678839591993025
canthium glabrum,0.863006605122452
canthium horridum,0.5447938745410652
canthium molle,0.9499715709954801
capparis micracantha subsp. korthalsiana,0.5033949401291125
carallia brachiata,0.9680359503149669
carex cryptostachys,0.8530181185373935
caryota mitis,0.882533791477054
casearia capitellata,0.6976806504226467
casearia clarkei,0.678319665073618
casearia lobbiana,0.9634386085870144
cassine viburnifolia,0.5831696943493098
cassytha filiformis,0.4942282829748186
castanopsis lucida,0.12020136525303751
castanopsis malaccensis,0.5304934678455216
castanopsis megacarpa,0.23053931585027299
castanopsis nephelioides,0.8786410089021683
castanopsis schefferiana,0.5440973224271562
castanopsis wallichii,0.05789811717800602
casuarina equisetifolia,1
cayratia japonica,0.9595371349566535
cayratia mollissima,0.9554498108497357
cayratia novemfolia,0.2645920182919323
cayratia trifolia,0.9637353583993522
celastrus monospermoides,0.8786410089021683
centotheca lappacea,0.7109746122821614
cephalomanes javanicum,0.49537361741473696
cephalomanes obscurum,0.43655628202835023
cephalomanes singaporeanum,0.27748699529711446
cerbera manghas,0.2523138615248942
cerbera odollam,1
ceriops tagal,0.04789538671456729
ceriops zippeliana,0.6613934627687854
champereia manillana,0.31601039645692375
chassalia chartacea,0.7134096936131828
chassalia curviflora,0.9810926349118545
chassalia singapurensis,0.0666335113077292
cheilanthes tenuifolia,0.6353747426783569
cheilocostus speciosus,1
chionanthus ramiflorus,0.12267372433183686
chisocheton patens,1.7817867616881296e-05
chisocheton pentandrus subsp. paucijugus,0.01603046221032953
chisocheton sarawakanus,0.7096201137408364
chloranthus erectus,0.3170290549962885
chonemorpha fragrans,0.458251621056683
christella arida,0.753200920291453
christella subpubescens,0.9885111060913078
chrysophyllum roxburghii,0.3022007227677188
chrysopogon aciculatus,0.6207253539882241
cinnamomum iners,1
cinnamomum javanicum,0.6284740956499396
cissus hastata,0.41053320414878186
cissus nodosa,0.9759984109763726
cissus repens,0.8857068225361897
cissus rostrata,0.3476429295979613
claderia viridiflora,0.40048838038762336
claoxylon indicum,0.9779353639703922
claoxylon longifolium,0.0014952820571931071
clausena excavata,0.8562701008810799
cleisostoma halophilum,0.010346252938691453
cleisostoma scortechinii,0.051906189980735346
cleistanthus macrophyllus,0.0306256591182067
cleistanthus malaccensis,0.05745835275315593
cleistanthus oblongifolius,0.9366741191337442
cleistanthus sumatranus,0.8789162995627826
clerodendrum deflexum,0.8519933347032504
clerodendrum disparifolium,0.6700242064270386
clerodendrum inerme,0.43977321310767403
clerodendrum myrmecophilum,0.004697966520765965
clerodendrum nutans,0.5688017554262189
clerodendrum speciosissimum,0.022392948287495686
clerodendrum villosum,1
cnestis palala,0.45332735462467943
cocculus orbiculatus,0.8078943661274662
coelogyne mayeriana,0.014436164840815398
coelogyne rochussenii,0.09683040332126633
coelogyne testacea,0.001995555203336776
coelospermum truncatum,0.929679445787287
coelostegia griffithii,0.9478342702178986
colubrina asiatica,0.7686287231176471
